Brand Name,Country of Origin,Region,Website,Speciality
Raneen,Egypt,Africa & Middle East,raneen.com,Everything
Jafar Shop,Jordan,Africa & Middle East,jafarshop.com,Everything
Kilimall,Kenya,Africa & Middle East,kilimall.com,Everything
Buy Lebanese,Lebanon,Africa & Middle East,buylebanese.com,Everything
Jumia,Nigeria,Africa & Middle East,jumia.com.ng,Everything
Konga,Nigeria,Africa & Middle East,konga.com,Everything
Noon,Saudi Arabia,Africa & Middle East,noon.com,Everything
eXtra,Saudi Arabia,Africa & Middle East,extra.com,Everything
Takealot,South Africa,Africa & Middle East,takealot.com,Everything
Bob Shop,South Africa,Africa & Middle East,bobshop.co.za,Everything
Temu,China,East Asia,temu.com,Everything
Taobao,China,East Asia,taobao.com,Everything
Suning,China,East Asia,suning.com,Everything
JD,China,East Asia,jd.com,Everything
AliExpress,China,East Asia,aliexpress.com,Everything
Mercari,Japan,East Asia,mercari.com,Everything
Rakuten,Japan,East Asia,rakuten.com,Everything
GMarket,South Korea,East Asia,gmarket.co.kr,Everything
NAVER Shopping,South Korea,East Asia,shopping.naver.com,Everything
Coupang,South Korea,East Asia,coupang.com,Everything
Fnac,France,Europe,fnac.com,Everything
Darty,France,Europe,darty.com,Everything
CDiscount,France,Europe,cdiscount.com,Everything
Kaufland,Germany,Europe,kaufland.com,Everything
Vinted,Lithuania,Europe,vinted.com,Everything
Bol,Netherlands,Europe,bol.com,Everything
Allegro ,Poland,Europe,allegro.pl,Everything
eMAG,Romania,Europe,emag.ro,Everything
Tesco,UK,Europe,tesco.com,Everything
OnBuy,UK,Europe,onbuy.com,Everything
Wish,USA,North America,wish.com,Everything
Wayfair,USA,North America,wayfair.com,Everything
Walmart,USA,North America,walmart.com,Everything
Target,USA,North America,target.com,Everything
Macy's,USA,North America,macys.com,Everything
Home Depot,USA,North America,homedepot.com,Everything
eBay,USA,North America,ebay.com,Everything
Costco,USA,North America,costco.com,Everything
BestBuy,USA,North America,bestbuy.com,Everything
Amazon,USA,North America,amazon.com,Everything
Kogan,Australia,Oceania,kogan.com,Everything
Big W,Australia,Oceania,bigw.com.au,Everything
Kmart ,Australia,Oceania,kmart.com,Everything
Woolworths ,Australia,Oceania,woolworths.com,Everything
The Warehouse,New Zealand,Oceania,thewarehouse.co.nz,Everything
Fravega,Argentina,South America,fravega.com,Everything
Mercado Libre,Argentina,South America,mercadolibre.com,Everything
Magazine Luiza,Brazil,South America,magazineluiza.com,Everything
Casas Bahia,Brazil,South America,casasbahia.com.br,Everything
Americanas ,Brazil,South America,americanas.com.br,Everything
Falabella ,Chile ,South America,falabella.com,Everything
París,Chile ,South America,paris.cl,Everything
Ripley,Colombia ,South America,simple.ripley.cl,Everything
Guystar,Guyana,South America,guystar.gy,Everything
TriniTrolley,Trinidad and Tobago,South America,trinitrolley.com,Everything
Tata CLiQ,India,South Asia,tatacliq.com,Everything
Snapdeal,India,South Asia,snapdeal.com,Everything
Paytm Mall,India,South Asia,paytmmall.com,Everything
JioMart,India,South Asia,jiomart.com,Everything
Flipkart,India,South Asia,flipkart.com,Everything
BigBasket,India,South Asia,bigbasket.com,Everything
Daraz,Pakistan,South Asia,daraz.pk,Everything
Kapruka,Sri Lanka,South Asia,kapruka.com,Everything
Wasi,Sri Lanka,South Asia,wasi.lk,Everything
Takas,Sri Lanka,South Asia,takas.lk,Everything
Blibli,Indonesia,Southeast Asia,blibli.com,Everything
Tokopedia,Indonesia,Southeast Asia,tokopedia.com,Everything
Presto Mall,Malaysia,Southeast Asia,prestomall.com,Everything
Shopee,Singapore,Southeast Asia,shopee.com,Everything
Lazada,Singapore,Southeast Asia,lazada.com,Everything
