Leaning,Source,Instagram Followers,Instagram Account URL,X Followers,X Account URL,URL,Date of Establishment,Age,Wikipedia Page,Country,Category,URL (in country language),Wikipedia Page (in country language)
left,New York Times (News),18.7M,https://www.instagram.com/nytimes/,55.2M,https://x.com/nytimes,www.nytimes.com/,"September 18, 1851",173,https://en.wikipedia.org/wiki/The_New_York_Times,USA,USA,,
left,Washington Post,6.9M,https://www.instagram.com/washingtonpost/?hl=en,19.8M,https://x.com/washingtonpost,https://www.washingtonpost.com/,"December 6, 1877",147,https://en.wikipedia.org/wiki/The_Washington_Post,USA,USA,,
left,CNN (Online News),20.4M,https://www.instagram.com/cnn,63.8M,https://x.com/cnn?lang=en,https://edition.cnn.com/,"June 1, 1980",44,https://en.wikipedia.org/wiki/CNN,USA,USA,,
left,HuffPost,3.2M,https://www.instagram.com/huffpost,10.6M,https://x.com/HuffPost,www.huffpost.com,"May 9, 2005",19,https://en.wikipedia.org/wiki/HuffPost,USA,USA,,
left,NBC News (Online),4.1M,https://www.instagram.com/nbcnews/,9.4M,https://x.com/nbcnews?lang=en,https://www.nbcnews.com/,"February 21, 1940",85,https://en.wikipedia.org/wiki/NBC_News,USA,USA,,
left,Politico,2M,https://www.instagram.com/politico/,4.5M,https://x.com/politico,https://www.politico.com/,"January 23, 2007",18,https://en.wikipedia.org/wiki/Politico,USA,USA,,
left,Vox,988K,https://www.instagram.com/voxdotcom/,938.6K,https://x.com/voxdotcom,https://www.vox.com/,"April 6, 2014",10,https://en.wikipedia.org/wiki/Vox_(website),USA,USA,,
right,Fox News (Online News),9.8M,https://www.instagram.com/foxnews,25.8M,https://x.com/FoxNews,https://www.foxnews.com/,"October 7, 1996",28,https://en.wikipedia.org/wiki/Fox_News,USA,USA,,
right,Washington Examiner,161K,https://www.instagram.com/washingtonexaminer,360.8K,https://x.com/dcexaminer,https://www.washingtonexaminer.com/,2005,20,https://en.wikipedia.org/wiki/Washington_Examiner,USA,USA,,
right,Washington Times,122K,https://www.instagram.com/washtimes,467.6K,https://x.com/WashTimes,https://www.washingtontimes.com/,"May 17, 1982",42,https://en.wikipedia.org/wiki/The_Washington_Times,USA,USA,,
right,New York Post (News),1.5M,https://www.instagram.com/nypost,3.3M,https://x.com/nypost,https://nypost.com/,"November 16, 1801",223,https://en.wikipedia.org/wiki/New_York_Post,USA,USA,,
