Leaning,Source,Instagram Followers,Instagram Account URL,X Followers,X Account URL,URL,Date of Establishment,Age,Wikipedia Page,Pulitzers,Circulation Details,Staff writers
left,New York Times (News),18.7M,https://www.instagram.com/nytimes/,55.2M,https://x.com/nytimes,www.nytimes.com/,"September 18, 1851",173,https://en.wikipedia.org/wiki/The_New_York_Times,132,"10,800,000 Subscribers","1,700"
left,Washington Post,6.9M,https://www.instagram.com/washingtonpost/?hl=en,19.8M,https://x.com/washingtonpost,https://www.washingtonpost.com/,"December 6, 1877",147,https://en.wikipedia.org/wiki/The_Washington_Post,68,"139,232 average print circulation",1050
left,CNN (Online News),20.4M,https://www.instagram.com/cnn,63.8M,https://x.com/cnn?lang=en,https://edition.cnn.com/,"June 1, 1980",44,https://en.wikipedia.org/wiki/CNN,,,
left,HuffPost,3.2M,https://www.instagram.com/huffpost,10.6M,https://x.com/HuffPost,www.huffpost.com,"May 9, 2005",19,https://en.wikipedia.org/wiki/HuffPost,1,,
left,NBC News (Online),4.1M,https://www.instagram.com/nbcnews/,9.4M,https://x.com/nbcnews?lang=en,https://www.nbcnews.com/,"February 21, 1940",85,https://en.wikipedia.org/wiki/NBC_News,,,
left,Politico,2M,https://www.instagram.com/politico/,4.5M,https://x.com/politico,https://www.politico.com/,"January 23, 2007",18,https://en.wikipedia.org/wiki/Politico,,,
left,The Guardian,5.9M,https://www.instagram.com/guardian/,10.7M,https://x.com/guardian,https://www.theguardian.com/,5 May 1821,203,https://en.wikipedia.org/wiki/The_Guardian,,,
left,Vox,988K,https://www.instagram.com/voxdotcom/,938.6K,https://x.com/voxdotcom,https://www.vox.com/,"April 6, 2014",10,https://en.wikipedia.org/wiki/Vox_(website),,,
left,CBS News (Online),2.1M,https://www.instagram.com/cbsnews/,8.9M,https://x.com/cbsnews,https://www.cbsnews.com/,"September 18, 1927",97,https://en.wikipedia.org/wiki/CBS_News,,,
left,ABC News (Online),4.8M,https://www.instagram.com/abcnews/,2.6M,https://x.com/abcnews,https://abcnews.go.com/,"June 15, 1945",79,https://en.wikipedia.org/wiki/ABC_News_(United_States),,,
left,Associated Press Fact Check,1.3M,https://www.instagram.com/apnews/,72.2K,https://x.com/apfactcheck?lang=en,https://apnews.com/ap-fact-check,"May 22, 1846",178,https://en.wikipedia.org/wiki/Associated_Press,,,
left,Associated Press,1.3M,https://www.instagram.com/apnews/,15.8M,https://x.com/AP,https://www.ap.org/,"May 22, 1846",178,https://en.wikipedia.org/wiki/Associated_Press,,,
left,Los Angeles Times,1.1M,https://www.instagram.com/latimes,3.8M,https://x.com/latimes,https://www.latimes.com/,"December 4, 1881",143,https://en.wikipedia.org/wiki/Los_Angeles_Times,,,
