Leaning,Source,Instagram Followers,Instagram Account URL,X Followers,X Account URL,URL,Date of Establishment,Age,Wikipedia Page,Pulitzers,Circulation Details,Staff writers
left,New York Times (News),18.7M,The New York Times (@nytimes) • Instagram photos and videos,55.2M,https://x.com/nytimes,www.nytimes.com/,"September 18, 1851",173,https://en.wikipedia.org/wiki/The_New_York_Times,132,"10,800,000 Subscribers","1,700"
left,Washington Post,6.9M,The Washington Post (@washingtonpost) • Instagram photos and videos,19.8M,https://x.com/washingtonpost,https://www.washingtonpost.com/,"December 6, 1877",147,https://en.wikipedia.org/wiki/The_Washington_Post,68,"139,232 average print circulation",1050
left,CNN (Online News),20.4M,https://www.instagram.com/cnn,63.8M,https://x.com/cnn?lang=en,https://edition.cnn.com/,"June 1, 1980",44,https://en.wikipedia.org/wiki/CNN,,,
left,HuffPost,3.2M,https://www.instagram.com/huffpost,10.6M,https://x.com/HuffPost,www.huffpost.com,"May 9, 2005",19,https://en.wikipedia.org/wiki/HuffPost,1,,
left,NBC News (Online),4.1M,NBC News (@nbcnews) • Instagram photos and videos,9.4M,https://x.com/nbcnews?lang=en,https://www.nbcnews.com/,"February 21, 1940",85,https://en.wikipedia.org/wiki/NBC_News,,,
left,Politico,2M,https://www.instagram.com/politico/,4.5M,https://x.com/politico,https://www.politico.com/,"January 23, 2007",18,https://en.wikipedia.org/wiki/Politico,,,
left,The Guardian,5.9M,The Guardian (@guardian) • Instagram photos and videos,10.7M,https://x.com/guardian,https://www.theguardian.com/,5 May 1821,203,https://en.wikipedia.org/wiki/The_Guardian,,,
left,Vox,988K,Vox (@voxdotcom) • Instagram photos and videos,938.6K,https://x.com/voxdotcom,https://www.vox.com/,"April 6, 2014",10,https://en.wikipedia.org/wiki/Vox_(website),,,
left,CBS News (Online),2.1M,https://www.instagram.com/cbsnews/,8.9M,https://x.com/cbsnews,https://www.cbsnews.com/,"September 18, 1927",97,https://en.wikipedia.org/wiki/CBS_News,,,
left,ABC News (Online),4.8M,ABC News (@abcnews) • Instagram photos and videos,2.6M,https://x.com/abcnews,https://abcnews.go.com/,"June 15, 1945",79,https://en.wikipedia.org/wiki/ABC_News_(United_States),,,
left,Associated Press Fact Check,1.3M,https://www.instagram.com/apnews/,72.2K,https://x.com/apfactcheck?lang=en,https://apnews.com/ap-fact-check,"May 22, 1846",178,https://en.wikipedia.org/wiki/Associated_Press,,,
left,Associated Press,1.3M,https://www.instagram.com/apnews/,15.8M,https://x.com/AP,https://www.ap.org/,"May 22, 1846",178,https://en.wikipedia.org/wiki/Associated_Press,,,
left,Los Angeles Times,,,3.8M,https://x.com/latimes,https://www.latimes.com/,"December 4, 1881",143,https://en.wikipedia.org/wiki/Los_Angeles_Times,,,
left,CNN Business,,,1.7M,https://x.com/CNNBusiness,https://edition.cnn.com/business,2001,24,https://en.wikipedia.org/wiki/CNN_Business,,,
left,Daily Beast,,,1.3M,https://x.com/thedailybeast,thedailybeast.com,"October 6, 2008",16,https://en.wikipedia.org/wiki/The_Daily_Beast,,,
left,USA TODAY,,,5M,https://x.com/USATODAY,https://usatoday.com/,"September 15, 1982",42,https://en.wikipedia.org/wiki/USA_Today,,,
left,NPR (Online News),,,8.3M,https://x.com/NPR,https://www.npr.org/,"April 20, 1971",53,https://en.wikipedia.org/wiki/NPR,,,
left,Bloomberg,,,9.6M,https://x.com/business,https://www.bloomberg.com/,"October 1, 1981",43,https://en.wikipedia.org/wiki/Bloomberg_L.P.,,,
left,Guest Writer - Left,,,,,,,,,,,
left,Slate,,,1.5M,https://x.com/Slate,https://slate.com/,1996,29,https://en.wikipedia.org/wiki/Slate_(magazine),,,
right,Fox News (Online News),,,25.8M,https://x.com/FoxNews,https://www.foxnews.com/,"October 7, 1996",28,https://en.wikipedia.org/wiki/Fox_News,,,
right,Washington Examiner,,,360.8K,https://x.com/dcexaminer,https://www.washingtonexaminer.com/,2005,20,https://en.wikipedia.org/wiki/Washington_Examiner,,,
right,Washington Times,,,467.6K,https://x.com/WashTimes,https://www.washingtontimes.com/,"May 17, 1982",42,https://en.wikipedia.org/wiki/The_Washington_Times,,,
right,New York Post (News),,,3.3M,https://x.com/nypost,https://nypost.com/,"November 16, 1801",223,https://en.wikipedia.org/wiki/New_York_Post,,,
right,National Review,,,368.4K,https://x.com/NRO,https://www.nationalreview.com/,"November 19, 1955",69,https://en.wikipedia.org/wiki/National_Review,,,
right,Townhall,,,419.8K,https://x.com/townhallcom,https://townhall.com/,"March 2, 1995",29,https://en.wikipedia.org/wiki/Townhall,,,
right,Newsmax (News),,,3.3M,https://x.com/newsmax,https://www.newsmax.com/,"September 16, 1998",26,https://en.wikipedia.org/wiki/Newsmax,,,
right,The Daily Caller,,,1.1M,https://x.com/DailyCaller,https://dailycaller.com/,"January 11, 2010",15,https://en.wikipedia.org/wiki/The_Daily_Caller,,,
right,Breitbart News,,,2.3M,https://x.com/BreitbartNews,https://www.breitbart.com/,2007,18,https://en.wikipedia.org/wiki/Breitbart_News,,,
right,The Epoch Times,,,820.4K,https://x.com/EpochTimes,https://www.theepochtimes.com/,"May 20, 2000",24,https://en.wikipedia.org/wiki/The_Epoch_Times,,,
right,The Daily Wire,,,2.5M,https://x.com/realDailyWire,https://www.dailywire.com/,"September 21, 2015",9,https://en.wikipedia.org/wiki/The_Daily_Wire,,,
right,Fox Business,,,888.4K,https://x.com/FoxBusiness,https://www.foxbusiness.com/,"October 15, 2007",17,https://en.wikipedia.org/wiki/Fox_Business,,,
right,The Blaze,,,1M,https://x.com/theblaze,https://www.theblaze.com/,"December 3, 2018",6,https://en.wikipedia.org/wiki/Blaze_Media,,,
